ticker,name,group,performance_today,performance_1w,performance_1m,performance_3m,performance_6m,performance_ytd
A,Agilent Technologies Inc,Diagnostics & Research,2.3637602,3.8134716,1.226002,18.26696,35.013477,10.435805
AA,Alcoa Corp,Aluminum,-0.9158679,-8.298837,-10.036743,-21.643929,-17.590788,-12.457659
AADX,Applied Aerospace & Defense Inc,Aerospace & Defense,4.892704,2.3450587,-32.560707,-35.069077,0,0
AAL,American Airlines Group Inc,Airlines,-2.519084,-1.3137558,-11.503812,-20.137587,22.435284,-16.699282
AAMI,Acadian Asset Management Inc,Asset Management,-1.6194332,-5.427027,-5.9253683,16.407187,72.10309,86.12766
AAOI,Applied Optoelectronics Inc,Communication Equipment,-0.49081036,-11.711294,-38.47892,-41.124496,8.853096,173.35054
AAON,AAON Inc,Building Products & Equipment,-1.6150384,-3.505583,-15.631741,-45.640724,-7.111611,-2.5311475
AAP,Advance Auto Parts Inc,Auto Parts,-3.4214618,0.20746888,-23.360367,-27.67055,-7.589286,10.610687
AAPG,Ascentage Pharma Group International ADR,Biotechnology,-2.4984765,-7.5678797,-12.087913,-6.542056,-16.274202,-39.02439
AAPL,Apple Inc,Consumer Electronics,-0.52239704,5.0738883,8.426323,11.184189,33.610226,21.878908
AAT,American Assets Trust Inc,REIT - Diversified,-0.09242144,0.18535681,-4.5474615,-10.1039505,17.948717,14.210248
AAUC,Allied Gold Corp,Gold,-2.2695692,-8.220965,-5.677246,-17.706709,-31.045752,-7.7797203
AB,AllianceBernstein Holding Lp,Asset Management,-0.055417012,-0.87936246,-0.33158332,0.33379695,-2.7762804,-6.262994
ABBV,Abbvie Inc,Drug Manufacturers - General,0.48515874,4.8344026,5.077298,21.502148,28.268396,15.121012
ABCB,Ameris Bancorp,Banks - Regional,0.011789672,0.92801905,-4.728212,-3.1510446,13.881058,14.218392
ABCL,AbCellera Biologics Inc,Biotechnology,2.1486123,3.2579186,1.875,106.32912,235.58824,233.62573
ABEV,Ambev SA ADR,Beverages - Brewers,-0.330033,0.33222592,8.633094,-3.2051282,11.439115,22.267206
ABG,Asbury Automotive Group Inc,Auto & Truck Dealerships,-1.7998182,-3.4042754,-1.6255875,4.110632,10.84396,-11.774825
ABM,ABM Industries Inc,Specialty Business Services,0.6452914,0.34177724,4.5892706,13.0464325,33.48489,17.990543
ABNB,Airbnb Inc,Travel Services,-1.3653678,-0.77226907,-6.118579,18.193947,30.967943,24.02004
ABR,Arbor Realty Trust Inc,REIT - Mortgage,-2.795699,-8.130081,-9.6,-13.076923,-39.813583,-41.75258
ABSI,Absci Corp,Biotechnology,-1.8541409,-8.208093,-14.069264,7.152497,168.24324,127.507164
ABT,Abbott Laboratories,Medical Devices,-1.0282278,-3.040958,-7.5564013,15.405498,-3.252418,-18.56493
ABUS,Arbutus Biopharma Corp,Biotechnology,-1.3645225,-2.1276596,7.430998,11.208791,19.339622,5.197505
ABVX,Abivax ADR,Biotechnology,-6.092622,-10.714884,-11.654104,7.5743823,-11.367791,-20.907642
ABX,Abacus Global Management Inc,Insurance - Life,-1.6859852,-3.014553,2.3026316,0.8648649,3.89755,9.122807
ACA,Arcosa Inc,Engineering & Construction,0,-0.16507325,0.09654506,6.8536515,44.169647,36.52182
ACAD,Acadia Pharmaceuticals Inc,Biotechnology,-2.761628,-3.3236995,-7.755946,23.774282,29.026037,0.18719581
ACDC,ProFrac Holding Corp,Oil & Gas Equipment & Services,-0.6147541,-11.49635,-8.143939,-20.098846,-24.454828,24.678663
ACEL,Accel Entertainment Inc,Gambling,0.17346054,-1.1976048,-5.250205,-10.87963,5.769231,1.2269939
ACGL,Arch Capital Group Ltd,Insurance - Diversified,-0.92904544,0.9623888,-0.78724056,6.426848,5.135428,1.1676397
ACHC,Acadia Healthcare Company Inc,Medical Care Facilities,-2.2142856,-2.8733594,-8.733334,10.092481,20.457544,92.95278
ACHR,Archer Aviation Inc,Aerospace & Defense,-0.7259528,-0.54545456,-14.397496,-1.7953322,-5.0347223,-27.26064
ACHV,Achieve Life Sciences Inc,Biotechnology,1.2448133,-2.9177718,-2.4,50.927834,83,47.283703
ACI,Albertsons Companies Inc,Grocery Stores,0.9433962,8.35443,5.2459016,-4.535316,-25.737421,-25.218405
ACIW,ACI Worldwide Inc,Software - Infrastructure,-2.583096,-1.2894534,-1.6113563,16.330235,30.045639,7.278812
ACLS,Axcelis Technologies Inc,Semiconductor Equipment & Materials,-0.25638592,-9.103496,-27.111235,-43.98763,24.410755,30.744337
ACM,AECOM,Engineering & Construction,-0.68111455,0.21868166,3.1179686,-6.7577386,-27.5683,-32.69695
ACMR,ACM Research Inc,Semiconductor Equipment & Materials,-4.367335,-13.395638,-25.338627,-41.80395,46.819748,62.07858
ACN,Accenture plc,Information Technology Services,-0.82051283,10.011376,13.778091,51.117363,-3.2951648,-27.916512
ACRS,Aclaris Therapeutics Inc,Biotechnology,-2.0390072,-0.6294964,-6.6722975,22.777779,49.728996,83.55482
ACT,Enact Holdings Inc,Insurance - Specialty,-1.1783503,-0.14127144,-0.60265166,16.725643,23.053967,24.82341
ACVA,ACV Auctions Inc,Auto & Truck Dealerships,0.19212297,41.519676,36.87664,60.95679,121.44373,30.049875
AD,Array Digital Infrastructure Inc,Telecom Services,-0.65308255,-1.0665973,7.5509048,-2.1358724,-16.270365,-29.074972
ADAM,Adamas Trust Inc,REIT - Mortgage,-0.7206209,-6.328452,-11.511858,-1.916758,21.836735,22.671232
ADBE,Adobe Inc,Software - Application,-2.9518073,1.1378796,1.4643363,32.076244,3.8726578,-26.352182
ADC,Agree Realty Corp,REIT - Retail,-1.0031083,-3.4715526,-5.9967804,-4.341297,-7.9842415,-2.7210884
ADEA,Adeia Inc,Software - Application,0.973236,-7.054871,-16.076845,-21.722729,7.2813444,44.347828
ADI,Analog Devices Inc,Semiconductors,0.09140768,-1.0189826,-7.4126267,-16.827785,16.77924,33.24115
ADIG,ADI Global Distribution Inc,Computer Hardware,0.44226044,-1.0648596,-4.619692,0,0,0
ADM,Archer Daniels Midland Co,Farm Products,0.19666821,0.06932409,6.5444703,15.326232,30.890131,50.652287
